DXY_Close,DXY_Open,DXY_High,Low,DXY_HighestOfYear,DXY_LowestOfYear,DXY_Target
96.65,96.75,96.97,96.44,102.99,92.93,-1
96.7,96.45,96.81,96.24,102.99,92.93,1
96.43,96.99,97.05,96.4,102.99,92.93,-1
96.88,96.75,97.15,96.6,102.99,92.93,1
96.72,97.15,97.19,96.57,102.99,92.93,-1
97.17,97.21,97.36,97.12,102.99,92.93,-1
97.32,97.14,97.34,96.81,102.99,92.93,1
97.2,97.39,97.62,97.03,102.99,92.93,-1
97.39,97.4,97.8,97.23,102.99,92.93,-1
97.54,97.5,97.65,97.11,102.99,92.93,1
97.43,97.35,97.68,97.26,102.99,92.93,1
97.43,97.24,97.6,97.16,102.99,92.93,1
97.15,96.66,97.24,96.55,102.99,92.93,1
96.65,96.93,97.25,96.39,102.99,92.93,-1
97.04,97.66,97.74,97.0,102.99,92.93,-1
97.62,97.42,97.72,97.16,102.99,92.93,1
97.42,97.08,97.58,96.95,102.99,92.93,1
97.16,97.01,97.34,96.8,102.99,92.93,1
96.96,96.56,97.25,96.43,102.99,92.93,1
96.71,97.09,97.39,96.6,102.99,92.93,-1
97.32,96.81,97.45,96.49,102.99,92.93,1
96.73,96.09,96.83,95.95,102.99,92.93,1
95.96,96.43,96.46,95.72,102.99,92.93,-1
96.32,96.63,97.06,96.23,102.99,92.93,-1
96.62,96.84,97.07,96.6,102.99,92.93,-1
96.94,96.74,97.03,96.44,102.99,92.93,1
96.68,97.32,97.63,96.57,102.99,92.93,-1
97.28,97.57,97.63,97.18,102.99,92.93,-1
97.67,97.84,97.91,97.43,102.99,92.93,-1
97.83,98.3,98.32,97.79,102.99,92.93,-1
98.34,98.51,98.55,97.94,102.99,92.93,-1
98.38,98.91,99.09,98.35,102.99,92.93,-1
99.06,99.02,99.34,98.72,102.99,92.93,1
98.91,99.76,99.77,98.9,102.99,92.93,-1
99.86,99.79,99.97,99.69,102.99,92.93,1
99.86,99.42,99.87,99.39,102.99,92.93,1
99.37,99.18,99.51,99.02,102.99,92.93,1
99.12,99.55,99.56,99.0,102.99,92.93,-1
99.37,99.62,99.73,99.23,102.99,92.93,-1
99.67,100.36,100.47,99.58,102.99,92.93,-1
100.4,100.26,100.49,100.08,102.99,92.93,1
100.47,100.19,100.56,100.15,102.99,92.93,1
100.24,100.01,100.28,99.58,102.99,92.93,1
99.93,100.23,100.44,99.66,102.99,92.93,-1
100.24,99.12,100.28,99.12,102.99,92.93,1
99.73,99.84,99.94,99.1,102.99,92.93,-1
99.89,100.21,100.4,99.81,102.99,92.93,-1
100.09,99.79,100.2,99.75,102.99,92.93,1
99.71,99.51,99.97,99.3,102.99,92.93,1
