"Date","Price","Open","High","Low","Target"
"2020-05-05","1707.17","1700.82","1712.9","1691.45","1"
"2020-06-16","1727.46","1725.55","1733.12","1716.43","1"
"2019-12-09","1461.99","1459.49","1465.8","1458.76","1"
"2020-04-16","1718.4","1716.46","1739.17","1707.88","1"
"2019-08-07","1501.2","1474.25","1510.28","1472.28","1"
"2020-01-31","1590.2","1574.18","1590.21","1570.84","1"
"2020-04-23","1731.58","1713.56","1739.74","1706.26","1"
"2020-01-20","1561.58","1558.65","1563.0","1556.39","1"
"2019-10-24","1503.65","1492.15","1504.27","1488.02","1"
"2020-05-19","1745.11","1732.31","1748.76","1725.66","1"
"2020-06-04","1711.83","1699.89","1721.62","1696.9","1"
"2019-10-02","1499.51","1479.19","1505.11","1474.42","1"
"2020-05-07","1717.94","1686.08","1723.06","1683.5","1"
"2020-02-20","1619.7","1611.71","1623.79","1603.98","1"
"2020-01-17","1556.61","1552.9","1561.45","1549.36","1"
"2020-07-02","1776.14","1769.6","1779.83","1757.68","1"
"2019-08-12","1511.41","1497.65","1517.95","1487.91","1"
"2019-08-01","1445.31","1411.34","1445.98","1400.65","1"
"2019-10-16","1489.77","1481.13","1491.65","1477.06","1"
"2020-05-29","1728.3","1721.7","1737.71","1712.53","1"
"2020-01-29","1577.12","1566.19","1578.04","1563.21","1"
"2019-10-30","1495.4","1487.6","1496.91","1481.21","1"
"2019-08-15","1523.2","1517.05","1527.0","1508.22","1"
"2019-10-17","1491.89","1490.55","1497.5","1483.45","1"
"2019-12-31","1517.4","1515.22","1525.45","1514.66","1"
"2020-03-20","1498.24","1470.54","1516.25","1460.3","1"
"2020-01-07","1573.99","1565.93","1577.53","1555.29","1"
"2020-04-20","1694.11","1692.25","1703.46","1671.49","1"
"2020-06-23","1767.54","1755.26","1771.25","1747.43","1"
"2020-07-06","1783.9","1776.31","1787.09","1770.13","1"
"2020-05-22","1736.07","1725.26","1740.07","1723.62","1"
"2020-02-26","1639.96","1635.37","1655.09","1625.79","1"
"2020-01-10","1562.28","1552.4","1563.27","1545.52","1"
"2020-06-22","1755.44","1748.78","1763.42","1743.27","1"
"2020-04-06","1663.0","1597.5","1669.97","1597.5","1"
"2019-11-26","1461.6","1454.98","1462.97","1450.63","1"
"2019-09-24","1532.3","1522.4","1535.85","1515.8","1"
"2019-12-24","1499.56","1485.57","1500.77","1484.41","1"
"2020-02-10","1572.3","1570.29","1577.23","1568.01","1"
"2019-11-12","1457.19","1455.79","1460.55","1445.61","1"
"2020-05-12","1702.72","1697.04","1711.79","1693.17","1"
"2020-06-10","1737.1","1714.8","1740.06","1708.47","1"
"2019-12-19","1479.15","1475.44","1481.97","1473.01","1"
"2019-11-29","1464.8","1455.9","1466.81","1452.93","1"
"2019-12-16","1476.25","1475.6","1480.03","1472.99","1"
"2019-09-17","1503.1","1498.85","1507.48","1493.36","1"
"2020-01-06","1565.96","1561.15","1583.44","1560.9","1"
"2020-02-24","1660.72","1659.05","1689.11","1652.37","1"
"2019-09-02","1530.59","1520.1","1533.81","1519.15","1"
"2020-04-13","1714.32","1685.69","1723.88","1674.87","1"
"2020-04-09","1684.07","1646.08","1691.17","1643.1","1"
"2020-03-17","1528.57","1512.45","1553.26","1465.81","1"
"2019-09-20","1517.15","1499.4","1517.24","1497.9","1"
"2019-10-22","1488.05","1484.52","1489.29","1480.87","1"
"2019-12-26","1511.55","1499.42","1512.77","1497.66","1"
"2020-05-15","1743.0","1730.52","1752.13","1727.93","1"
"2020-03-26","1632.39","1617.25","1647.28","1595.84","1"
"2019-12-03","1477.34","1462.5","1482.22","1459.39","1"
"2020-05-28","1719.4","1709.04","1727.52","1707.11","1"
"2020-07-07","1795.26","1783.91","1797.59","1773.79","1"
"2020-04-01","1595.05","1571.0","1603.41","1566.97","1"
"2019-10-08","1505.51","1493.55","1508.71","1487.45","1"
"2019-11-14","1471.2","1463.18","1474.62","1460.93","1"
"2019-09-12","1498.95","1497.5","1523.96","1488.8","1"
"2020-01-02","1528.94","1517.24","1531.55","1517.22","1"
"2020-07-03","1775.05","1774.77","1777.43","1772.48","1"
"2020-01-03","1551.65","1528.95","1553.7","1528.0","1"
"2020-02-07","1570.29","1566.86","1574.18","1562.39","1"
"2019-07-26","1418.69","1414.4","1424.83","1413.72","1"
"2020-01-01","1517.3","1517.24","1517.48","1517.19","1"
"2019-09-19","1499.2","1494.0","1504.35","1488.9","1"
"2019-10-01","1478.98","1472.3","1487.37","1459.0","1"
"2019-07-12","1415.74","1403.9","1417.09","1403.12","1"
"2019-12-17","1476.45","1476.25","1480.78","1474.23","1"
"2019-09-23","1522.11","1516.66","1527.25","1511.5","1"
"2020-06-25","1761.81","1760.32","1769.04","1755.49","1"
"2020-02-05","1556.7","1552.56","1562.5","1547.4","1"
"2020-02-18","1601.92","1583.44","1605.45","1583.09","1"
"2020-04-02","1613.79","1590.52","1621.15","1579.04","1"
"2020-04-10","1689.9","1676.0","1697.5","1676.0","1"
"2020-04-22","1714.82","1687.1","1719.65","1680.09","1"
"2019-09-11","1497.6","1486.45","1498.56","1485.0","1"
"2020-01-22","1558.92","1558.03","1559.63","1550.08","1"
"2020-02-19","1611.64","1601.85","1613.04","1599.53","1"
"2019-09-04","1552.6","1547.1","1557.38","1533.81","1"
"2020-07-08","1810.78","1795.27","1818.13","1791.62","1"
"2020-02-06","1566.85","1556.95","1568.55","1552.46","1"
"2019-07-24","1425.9","1417.55","1429.55","1416.43","1"
"2020-04-29","1712.39","1708.3","1717.76","1697.55","1"
"2020-01-27","1581.94","1580.1","1586.81","1575.81","1"
"2019-11-18","1470.85","1467.66","1474.3","1456.26","1"
"2019-07-17","1426.8","1406.59","1427.0","1400.18","1"
"2019-11-13","1463.19","1457.19","1467.36","1455.96","1"
"2019-08-20","1507.1","1495.6","1508.6","1492.85","1"
"2020-02-13","1576.39","1565.62","1578.24","1565.53","1"
"2020-02-14","1584.7","1576.3","1585.05","1573.12","1"
"2019-08-05","1463.8","1440.65","1470.05","1437.03","1"
"2019-09-03","1547.0","1529.6","1549.9","1521.51","1"
"2019-07-29","1426.94","1419.49","1428.46","1416.98","1"
"2019-12-05","1475.7","1474.34","1480.72","1472.9","1"
"2019-10-03","1505.0","1499.55","1518.81","1495.99","1"
"2020-06-12","1730.8","1728.34","1743.16","1722.57","1"
"2020-03-06","1674.23","1670.58","1692.1","1648.12","1"
"2020-05-20","1749.5","1745.92","1754.77","1741.89","1"
"2020-06-19","1743.61","1723.69","1745.36","1721.18","1"
"2020-01-24","1570.65","1563.3","1576.01","1556.42","1"
"2020-06-01","1740.33","1738.05","1744.84","1727.26","1"
"2019-11-06","1490.46","1484.1","1494.46","1482.45","1"
"2020-06-08","1697.96","1684.65","1700.9","1677.52","1"
"2019-08-14","1516.33","1501.38","1524.3","1494.34","1"
"2020-06-26","1771.47","1761.82","1772.12","1747.67","1"
"2020-03-30","1623.3","1622.0","1639.61","1608.72","1"
