tweet,class
#bitcoin stock indices oil metals and #forex majors correlations since april this year on the 4h (post corona volatility spike): #btc +87% with #sp500 #xauusd +90% with #nasdaq100 #sp500 +97% with #audusd #wti +84% with #eurusd,0
i hope i picked @btc_ouyang hehe thank you #xauusd #btc,0
morning folks hope you are having a great weekend. i am currently putting together an in depth analysis of #xauusd $gold for my patreon peeps #forex,1
#bitcoin #btcusd up or down... #doge #dogecoin #forex #xauusd #xagusd #gramaltin #usdtry #dolartl #thyao #astrofinans #altcoin,2
#gold mother of killers 1800 until now failed to stop gold. wave no.5-4 is done likely at 1795 or waiting for a small retrace to 1785. now expecting wave no.5-5 to 1843 or likely an extended one and since no resistance there the sky is open to 1920 #xauusd long tp 1920,2
gold ===== #xauusd #gold #metals #commodity #commodities #precious #trading #analysis #chart #trend #forex #futures #adfc #elliottwave #fund #etf,1
- been a busy week for #preciousmetals as #gold reached $1800.00 #palladium recovering quiet strongly from the yearly lows & managed to hold on to a greater portion of its weekly gains. #silver #platinum #xauusd #bullion #markets #traders #investors @mesahtapiwa @etimeszw,1
gold - #xauusd chart,0
#us30 short +200 pips profits within minutes! closing soon join now: https://t.me/warsnopicf #amzn #usdjpy #usdchf #eurjpy #eurusd #forex #xauusd #fx #gbpusd #usdcad #nflx #audusd #usoil #bitcoin #tsla 736889328,0
xauusd: yellow metal could not stay above 1800 at the end of the week - and this is a bad sign for bulls. but technically the uptrend is not yet broken #xau #xauusd #gold short-term uptrend support 1791.50 uptrend support on daily chart 1769.53,2
i’m gonna share you my analytic method of using cftc speculative positions. you know these are tuesday’s circumstances. so i confirm the closing price of last tuesday’s daily candle stick. like this.#gold #xauusd,0
xauusd weekly levels (13.07 - 17.07) #fx #xau #xauusd #gold ----------------- high 1817.38 low 1769.53 close 1798.39 ----------------- pivot 1795.10 r1 1820.67 r2 1842.95 r3 1868.52 s1 1772.82 s2 1747.25 s3 1724.97 gold on weekly chart: uptrend,1
#xauusd - largo - tradingview -,0
major currency pairs #eurusd : 11295 #gbpusd : 12623 #eurgbp : 08948 #xauusd : 1.7985612 #usdjpy : 1069204 09:05 gmt+3,1
happy profitable anniversary ! - #xauusd chart,1
audjpy both targets hit! 110 pips profit with the free call get daily forex signals at https://t.me/prometheusclub #btc #eurusd #xauusd #forex #usdcad #forexlifestyle #usdjpy #eurjpy #fx #forexsignals #gbpusd #usdchf 73203,1
hiya mates cftc speculative positions are announced. check it out together. this weekly announcement is last tuesday’s data. and its position amount was 267.4k. before last tuesday was 266.7k. so i can tell that speculators were slightly increasing long positions.#gold #xauusd,2
audjpy both targets hit! 110 pips profit with the free call join now for free signals https://t.me/prometheusclub #usdjpy #forex #usdchf #brentoil #forexlifestyle #usdcad #ukoil #forexsignals #eurjpy #xauusd #fx #btc 56335,1
#xauusd - corto - tradingview -,0
nothing is impossible with proper risk management anything can be achieved in the market buy #cadjpy and sell #xauusd dm for more information on private account management.,2
#nzdcad target hit! 90 pips profit for free signals join http://t.me/prometheusclub #forexlifestyle #usdchf #forex #fx #xauusd #eurjpy #forexprofit #usdcad #usdjpy #forexsignals #mt4 #btc 47754,1
