Date,XAU_Close,XAU_Open,XAU_High,XAU_Low,XAU_HighestOfYear,XAU_LowestOfYear,XAU_Change,DXY_Close,DXY_Open,DXY_High,DXY_Low,DXY_HighestOfYear,DXY_LowestOfYear,DXY_Change
2020-07-10,1798.9,1802.13,1810.76,1794.28,1906.54,1501.05,-1,96.65,96.75,96.97,96.44,102.99,92.93,-1
2020-07-09,1803.19,1811.3,1816.26,1795.82,1906.54,1501.05,-1,96.7,96.45,96.81,96.24,102.99,92.93,1
2020-07-08,1810.78,1795.27,1818.13,1791.62,1906.54,1501.05,1,96.43,96.99,97.05,96.4,102.99,92.93,-1
2020-07-07,1795.26,1783.91,1797.59,1773.79,1906.54,1501.05,1,96.88,96.75,97.15,96.6,102.99,92.93,1
2020-07-06,1783.9,1776.31,1787.09,1770.13,1906.54,1501.05,1,96.72,97.15,97.19,96.57,102.99,92.93,-1
2020-07-03,1775.05,1774.77,1777.43,1772.48,1906.54,1501.05,1,97.17,97.21,97.36,97.12,102.99,92.93,-1
2020-07-02,1776.14,1769.6,1779.83,1757.68,1906.54,1501.05,1,97.32,97.14,97.34,96.81,102.99,92.93,1
2020-07-01,1770.31,1781.6,1789.48,1759.27,1906.54,1501.05,-1,97.2,97.39,97.62,97.03,102.99,92.93,-1
2020-06-30,1781.67,1771.9,1786.02,1765.35,1906.54,1501.05,1,97.39,97.4,97.8,97.23,102.99,92.93,-1
2020-06-29,1772.28,1773.74,1775.72,1765.78,1906.54,1501.05,-1,97.54,97.5,97.65,97.11,102.99,92.93,1
2020-06-26,1771.47,1761.82,1772.12,1747.67,1906.54,1501.05,1,97.43,97.35,97.68,97.26,102.99,92.93,1
2020-06-25,1761.81,1760.32,1769.04,1755.49,1906.54,1501.05,1,97.43,97.24,97.6,97.16,102.99,92.93,1
2020-06-24,1762.43,1768.99,1779.61,1760.8,1906.54,1501.05,-1,97.15,96.66,97.24,96.55,102.99,92.93,1
2020-06-23,1767.54,1755.26,1771.25,1747.43,1906.54,1501.05,1,96.65,96.93,97.25,96.39,102.99,92.93,-1
2020-06-22,1755.44,1748.78,1763.42,1743.27,1906.54,1501.05,1,97.04,97.66,97.74,97.0,102.99,92.93,-1
2020-06-19,1743.61,1723.69,1745.36,1721.18,1906.54,1501.05,1,97.62,97.42,97.72,97.16,102.99,92.93,1
2020-06-18,1722.99,1726.3,1737.17,1717.57,1906.54,1501.05,-1,97.42,97.08,97.58,96.95,102.99,92.93,1
2020-06-17,1727.04,1727.71,1730.41,1713.22,1906.54,1501.05,-1,97.16,97.01,97.34,96.8,102.99,92.93,1
