tweet,target
stock indices oil metals and majors correlations since april this year on the 4h post corona volatility spike 87 with 90 with 97 with 84 with,1
i hope i picked hehe thank you,1
up or down,1
mother of killers 1800 until now failed to stop gold wave no 5 4 is done likely at 1795 or waiting for a small retrace to 1785 now expecting wave no 5 5 to 1843 or likely an extended one and since no resistance there the sky is open to 1920 long tp 1920,1
gold,1
gold chart,1
short 200 pips profits within minutes closing soon join now 736889328,1
xauusd yellow metal could not stay above 1800 at the end of the week and this is a bad sign for bulls but technically the uptrend is not yet broken short term uptrend support 1791 50 uptrend support on daily chart 1769 53,1
i m gonna share you my analytic method of using cftc speculative positions you know these are tuesday s circumstances so i confirm the closing price of last tuesday s daily candle stick like this,1
largo tradingview,1
hiya mates cftc speculative positions are announced check it out together this weekly announcement is last tuesday s data and its position amount was 267 4k before last tuesday was 266 7k so i can tell that speculators were slightly increasing long positions,1
corto tradingview,1
nothing is impossible with proper risk management anything can be achieved in the market buy and sell dm for more information on private account management,1
sell chart,1
60 days gold price chart spdr volume chart,1
buy sell in week 6 10 jul 2020 buy 11 1 tons sell 2 11 tons,1
looking to buy around 1780 90 not going to short it having a little holiday,1
gold tradingview,1
brent ice 7 9 neutral last 43 24 wti nym 7 9 sell 39 62 sl 39 57 last 40 55 gold cmx 7 6 buy 1793 5 sl 1792 1 last 1801 9 silver cmx 7 10 buy 19 053 sl 18 396 last 19 053,1
gold trade every pullback is an opportunity line graph tradingview,1
wait for pullback to get into longs again,1
gold 10 07 2020 tradingview,1
the of a short sale in the case of a potential triple three setup with the help of sell stop was at 1804 reversal at wave b was bought gdx gc f,1
join,1
3 charts 9 interpretations vs gld,1
effect,1
i think now buy 1795 sl 1790 tp1 1800 tp1 1805 tp3 1815,1
during the day 28 of our investors who traded on this instrument earned total of 29 150 won,1
trades updates usdcad eurjpy and gold chart,1
gold sell on rallies tradingview,1
1801 26 is the turning point of daily candle stick bullish or bearish,1
xauusd lt bear h12 1818 092 new high sentiment reversal csi 0 00 l38 2 s61 8 2020 07 10 score not good 0 11 non com short l 7 35 s 4 87 cot index 0 10 extension,1
gold positivo tradingview,1
before after,1
gold on verge of 9y highs technical trading hedging setup tradingview,1
why safe haven and the stock market are now moving the same direction marketwatch efforts by global cb to push down interest rates mean that investors who hold gold aren t missing out on the yield they would earn from holding bonds,1
join us now,1
rising order bullish in 1795 1800 has risen to the intraday pressure level of 1810 and gold can be bought and sold by backhand bearish,1
brent 2618 formasyonu tradingview,1
gold is at a convergence of resistance between 1798 1818 tradingview,1
