Date,Price,Open,High,Low,Vol.,Target
2020-08-26,1.7,1.57,1.73,1.55,81.15M,1
2020-08-25,1.58,1.61,1.68,1.56,53.09M,-1
2020-08-24,1.61,1.63,1.66,1.6,15.64M,-1
2020-08-21,1.62,1.65,1.67,1.6,20.58M,-1
2020-08-20,1.64,1.69,1.69,1.63,27.57M,-1
2020-08-19,1.69,1.63,1.69,1.61,34.84M,1
2020-08-18,1.62,1.56,1.67,1.55,50.19M,1
2020-08-17,1.55,1.56,1.6,1.55,12.16M,-1
2020-08-14,1.56,1.58,1.59,1.53,12.86M,-1
2020-08-13,1.6,1.69,1.7,1.6,24.94M,-1
2020-08-12,1.68,1.75,1.76,1.68,22.02M,-1
2020-08-11,1.75,1.65,1.76,1.64,40.57M,1
2020-08-10,1.67,1.57,1.72,1.51,34.92M,1
2020-08-07,1.62,1.49,1.64,1.42,22.34M,1
2020-08-06,1.57,1.72,1.74,1.57,30.81M,-1
2020-08-05,1.74,1.73,1.74,1.65,29.78M,1
2020-08-04,1.71,1.88,1.91,1.63,38.99M,-1
2020-07-30,1.81,1.82,1.84,1.78,6.69M,-1
2020-07-29,1.82,1.74,1.83,1.68,34.85M,1
2020-07-28,1.73,1.92,1.92,1.73,26.23M,-1
2020-07-27,1.91,1.91,1.96,1.9,28.72M,0
2020-07-24,1.89,1.85,1.95,1.83,30.14M,1
2020-07-23,1.89,1.94,1.95,1.87,21.32M,-1
2020-07-22,1.92,2.0,2.06,1.88,51.44M,-1
2020-07-21,1.96,1.91,2.04,1.87,99.78M,1
2020-07-20,1.86,1.85,1.89,1.84,33.98M,1
2020-07-17,1.82,1.78,1.84,1.74,32.48M,1
2020-07-16,1.78,1.8,1.84,1.78,30.08M,-1
2020-07-14,1.76,1.72,1.79,1.66,40.81M,1
2020-07-13,1.73,1.64,1.73,1.63,15.24M,1
2020-07-10,1.6,1.6,1.61,1.51,23.71M,0
2020-07-09,1.63,1.74,1.75,1.62,23.27M,-1
2020-07-08,1.73,1.81,1.83,1.71,40.82M,-1
2020-07-07,1.81,1.81,1.91,1.72,64.03M,0
2020-07-06,1.8,1.71,1.82,1.69,65.71M,1
2020-07-03,1.69,1.68,1.74,1.67,67.22M,1
2020-07-02,1.63,1.56,1.68,1.56,108.01M,1
2020-07-01,1.55,1.54,1.6,1.5,70.36M,1
2020-06-30,1.52,1.51,1.56,1.48,69.09M,1
2020-06-29,1.5,1.44,1.52,1.43,58.45M,1
2020-06-26,1.43,1.44,1.47,1.42,35.99M,-1
2020-06-25,1.43,1.41,1.46,1.4,36.71M,1
2020-06-24,1.41,1.41,1.46,1.4,33.44M,0
2020-06-23,1.41,1.43,1.44,1.4,16.74M,-1
2020-06-22,1.42,1.41,1.44,1.39,27.26M,1
2020-06-19,1.4,1.42,1.44,1.38,20.08M,-1
2020-06-18,1.41,1.42,1.44,1.41,17.99M,-1
2020-06-17,1.41,1.43,1.45,1.41,29.43M,-1
2020-06-16,1.44,1.44,1.48,1.42,54.81M,0
2020-06-15,1.42,1.43,1.48,1.4,72.24M,-1
2020-06-12,1.41,1.32,1.43,1.31,67.53M,1
2020-06-11,1.33,1.34,1.37,1.32,18.59M,-1
2020-06-10,1.36,1.33,1.39,1.32,46.03M,1
2020-06-09,1.32,1.32,1.34,1.28,22.40M,0
2020-06-08,1.32,1.35,1.36,1.3,20.00M,-1
2020-06-05,1.33,1.3,1.34,1.29,24.05M,1
2020-06-04,1.29,1.31,1.32,1.29,8.54M,-1
2020-06-03,1.3,1.33,1.34,1.3,16.95M,-1
2020-06-02,1.31,1.29,1.34,1.28,38.81M,1
2020-06-01,1.29,1.29,1.31,1.27,11.87M,0
2020-05-29,1.27,1.29,1.3,1.26,11.88M,-1
2020-05-28,1.3,1.35,1.38,1.29,27.59M,-1
2020-05-27,1.34,1.36,1.37,1.34,29.78M,-1
2020-05-22,1.34,1.33,1.37,1.33,17.35M,1
2020-05-21,1.34,1.37,1.4,1.32,39.40M,-1
2020-05-20,1.37,1.3,1.4,1.26,51.69M,1
2020-05-18,1.29,1.21,1.3,1.2,68.61M,1
2020-05-15,1.19,1.17,1.24,1.17,33.80M,1
2020-05-14,1.16,1.19,1.2,1.14,13.60M,-1
2020-05-13,1.2,1.2,1.22,1.18,16.50M,0
2020-05-12,1.19,1.19,1.21,1.18,17.70M,0
